rosbag record -o high /vis/odom_pose /vis/traj_path /vis/traj_pose /vis/odom_pose
t,x,y,z,vx,vy,vz,ax,ay,az,yaw,yaw_rate,qw,qx,qy,qz
0.0000,0.000000,0.000000,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.0100,0.000000,0.000000,1.500000,0.000077,0.000074,0.000000,0.015362,0.014656,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.0200,0.000002,0.000002,1.500000,0.000306,0.000292,0.000000,0.030443,0.029044,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.0300,0.000007,0.000007,1.500000,0.000685,0.000653,0.000000,0.045245,0.043166,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.0400,0.000016,0.000015,1.500000,0.001210,0.001155,0.000000,0.059768,0.057024,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.0500,0.000032,0.000030,1.500000,0.001879,0.001793,0.000000,0.074015,0.070619,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.0600,0.000054,0.000052,1.500000,0.002690,0.002566,0.000000,0.087988,0.083953,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.0700,0.000086,0.000082,1.500000,0.003638,0.003471,0.000000,0.101688,0.097027,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.0800,0.000128,0.000122,1.500000,0.004723,0.004506,0.000000,0.115116,0.109842,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.0900,0.000181,0.000172,1.500000,0.005940,0.005667,0.000000,0.128275,0.122402,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.1000,0.000247,0.000235,1.500000,0.007287,0.006953,0.000000,0.141165,0.134706,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.1100,0.000327,0.000312,1.500000,0.008762,0.008361,0.000000,0.153790,0.146757,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.1200,0.000422,0.000403,1.500000,0.010362,0.009887,0.000000,0.166150,0.158556,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.1300,0.000535,0.000510,1.500000,0.012084,0.011531,0.000000,0.178246,0.170104,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.1400,0.000664,0.000634,1.500000,0.013926,0.013289,0.000000,0.190082,0.181405,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.1500,0.000813,0.000776,1.500000,0.015885,0.015158,0.000000,0.201658,0.192458,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.1600,0.000983,0.000938,1.500000,0.017958,0.017137,0.000000,0.212976,0.203265,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.1700,0.001173,0.001119,1.500000,0.020144,0.019223,0.000000,0.224037,0.213829,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.1800,0.001386,0.001322,1.500000,0.022438,0.021413,0.000000,0.234844,0.224150,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.1900,0.001622,0.001548,1.500000,0.024840,0.023705,0.000000,0.245398,0.234231,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.2000,0.001883,0.001797,1.500000,0.027345,0.026097,0.000000,0.255701,0.244073,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.2100,0.002169,0.002070,1.500000,0.029953,0.028585,0.000000,0.265754,0.253676,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.2200,0.002482,0.002369,1.500000,0.032660,0.031169,0.000000,0.275559,0.263044,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.2300,0.002823,0.002694,1.500000,0.035463,0.033846,0.000000,0.285118,0.272178,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.2400,0.003192,0.003046,1.500000,0.038361,0.036612,0.000000,0.294432,0.281078,0.000000,0.762072,0.000980,0.928280,0.000000,0.000000,0.371882
0.2500,0.003590,0.003426,1.500000,0.041351,0.039466,0.000000,0.303503,0.289748,0.000000,0.762082,0.000988,0.928278,0.000000,0.000000,0.371887
0.2600,0.004019,0.003836,1.500000,0.044430,0.042406,0.000000,0.312333,0.298188,0.000000,0.762092,0.000996,0.928276,0.000000,0.000000,0.371892
0.2700,0.004479,0.004275,1.500000,0.047597,0.045429,0.000000,0.320923,0.306399,0.000000,0.762102,0.001004,0.928274,0.000000,0.000000,0.371896
0.2800,0.004971,0.004744,1.500000,0.050848,0.048533,0.000000,0.329275,0.314384,0.000000,0.762112,0.001012,0.928272,0.000000,0.000000,0.371901
