t,x,y,z,vx,vy,vz,ax,ay,az,wx,wy,wz,qw,qx,qy,qz
0.000000,10.000000,0.000000,10.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.001000,10.000000,-0.000000,10.000000,-0.000000,-0.000050,0.000000,-0.000000,-0.100119,0.000000,0.000000,0.000000,-0.000005,0.707098,0.003608,0.003608,-0.707098
0.002000,10.000000,-0.000000,10.000000,-0.000000,-0.000200,0.000000,-0.000000,-0.200237,0.000000,0.000000,0.000000,-0.000020,0.707070,0.007215,0.007215,-0.707070
0.003000,10.000000,-0.000001,10.000000,-0.000000,-0.000451,0.000000,-0.000000,-0.300356,0.000000,0.000000,0.000001,-0.000045,0.707024,0.010821,0.010821,-0.707024
0.004000,10.000000,-0.000002,10.000000,-0.000000,-0.000802,0.000000,-0.000000,-0.400474,0.000000,0.000000,0.000003,-0.000080,0.706960,0.014424,0.014424,-0.706960
0.005000,10.000000,-0.000003,10.000000,-0.000000,-0.001253,0.000000,-0.000000,-0.500593,0.000000,0.000000,0.000006,-0.000125,0.706877,0.018024,0.018024,-0.706877
0.006000,10.000000,-0.000005,10.000000,-0.000000,-0.001804,0.000000,-0.000001,-0.600711,0.000000,0.000000,0.000011,-0.000180,0.706776,0.021619,0.021619,-0.706776
0.007000,10.000000,-0.000007,10.000000,-0.000000,-0.002456,0.000000,-0.000001,-0.700830,0.000000,0.000000,0.000017,-0.000245,0.706657,0.025210,0.025210,-0.706657
0.008000,10.000000,-0.000010,10.000000,-0.000000,-0.003208,0.000000,-0.000002,-0.800948,0.000000,0.000000,0.000026,-0.000320,0.706520,0.028794,0.028794,-0.706521
0.009000,10.000000,-0.000014,10.000000,-0.000000,-0.004060,0.000000,-0.000003,-0.901067,0.000000,0.000000,0.000037,-0.000404,0.706365,0.032372,0.032372,-0.706366
0.010000,10.000000,-0.000019,10.000000,-0.000000,-0.005012,0.000000,-0.000004,-1.001185,0.000000,0.000000,0.000051,-0.000499,0.706192,0.035943,0.035943,-0.706193
0.011000,10.000000,-0.000025,10.000000,-0.000000,-0.006064,0.000000,-0.000006,-1.101304,0.000000,0.000000,0.000068,-0.000603,0.706001,0.039505,0.039505,-0.706003
0.012000,10.000000,-0.000033,10.000000,-0.000000,-0.007217,0.000000,-0.000009,-1.201423,0.000000,0.000000,0.000088,-0.000716,0.705793,0.043058,0.043058,-0.705796
0.013000,10.000000,-0.000041,10.000000,-0.000000,-0.008470,0.000000,-0.000013,-1.301541,0.000000,0.000000,0.000111,-0.000840,0.705568,0.046602,0.046601,-0.705571
0.014000,10.000000,-0.000051,10.000000,-0.000000,-0.009823,0.000000,-0.000017,-1.401660,0.000000,0.000000,0.000139,-0.000972,0.705326,0.050135,0.050134,-0.705329
0.015000,10.000000,-0.000062,10.000000,-0.000000,-0.011277,0.000000,-0.000022,-1.501778,0.000000,0.000000,0.000171,-0.001115,0.705066,0.053656,0.053655,-0.705070
0.016000,10.000000,-0.000075,10.000000,-0.000000,-0.012830,0.000000,-0.000028,-1.601897,0.000000,0.000000,0.000207,-0.001266,0.704790,0.057166,0.057164,-0.704795
0.017000,10.000000,-0.000089,10.000000,-0.000000,-0.014484,0.000000,-0.000036,-1.702015,0.000000,0.000000,0.000248,-0.001427,0.704497,0.060663,0.060661,-0.704503
0.018000,10.000000,-0.000106,10.000000,-0.000000,-0.016238,0.000000,-0.000045,-1.802134,0.000000,0.000000,0.000293,-0.001597,0.704188,0.064146,0.064143,-0.704195
0.019000,10.000000,-0.000124,10.000000,-0.000000,-0.018093,0.000000,-0.000056,-1.902252,0.000000,0.000000,0.000344,-0.001776,0.703863,0.067615,0.067612,-0.703871
0.020000,10.000000,-0.000144,10.000000,-0.000000,-0.020047,0.000000,-0.000069,-2.002371,0.000000,0.000000,0.000401,-0.001964,0.703521,0.071070,0.071066,-0.703531
0.021000,10.000000,-0.000166,10.000000,-0.000000,-0.022102,0.000000,-0.000084,-2.102489,0.000000,0.000000,0.000463,-0.002161,0.703165,0.074509,0.074504,-0.703176
0.022000,10.000000,-0.000190,10.000000,-0.000000,-0.024257,0.000000,-0.000101,-2.202608,0.000000,0.000000,0.000531,-0.002367,0.702793,0.077931,0.077926,-0.702806
0.023000,10.000000,-0.000217,10.000000,-0.000001,-0.026513,0.000000,-0.000120,-2.302727,0.000000,0.000000,0.000606,-0.002581,0.702406,0.081338,0.081331,-0.702421
0.024000,10.000000,-0.000246,10.000000,-0.000001,-0.028868,0.000000,-0.000142,-2.402845,0.000000,0.000000,0.000687,-0.002804,0.702005,0.084727,0.084719,-0.702021
0.025000,10.000000,-0.000277,10.000000,-0.000001,-0.031324,0.000000,-0.000167,-2.502964,0.000000,0.000000,0.000774,-0.003035,0.701589,0.088098,0.088088,-0.701607
0.026000,10.000000,-0.000311,10.000000,-0.000001,-0.033880,0.000000,-0.000196,-2.603082,0.000000,0.000000,0.000869,-0.003275,0.701158,0.091451,0.091440,-0.701179
0.027000,10.000000,-0.000347,10.000000,-0.000001,-0.036536,0.000000,-0.000227,-2.703201,0.000000,0.000000,0.000971,-0.003522,0.700715,0.094785,0.094772,-0.700738
0.028000,10.000000,-0.000387,10.000000,-0.000002,-0.039293,0.000000,-0.000263,-2.803319,0.000000,0.000000,0.001080,-0.003778,0.700257,0.098099,0.098084,-0.700283
0.029000,10.000000,-0.000429,10.000000,-0.000002,-0.042150,0.000000,-0.000302,-2.903438,0.000000,0.000000,0.001196,-0.004042,0.699787,0.101394,0.101377,-0.699815
0.030000,10.000000,-0.000474,10.000000,-0.000002,-0.045107,0.000000,-0.000346,-3.003556,0.000000,0.000000,0.001321,-0.004313,0.699303,0.104668,0.104649,-0.699334
0.031000,10.000000,-0.000522,10.000000,-0.000003,-0.048164,0.000000,-0.000394,-3.103675,0.000000,0.000000,0.001453,-0.004592,0.698807,0.107922,0.107900,-0.698841
0.032000,10.000000,-0.000573,10.000000,-0.000003,-0.051321,0.000000,-0.000447,-3.203793,0.000000,0.000000,0.001593,-0.004879,0.698299,0.111154,0.111129,-0.698336
0.033000,10.000000,-0.000628,10.000000,-0.000003,-0.054579,0.000000,-0.000505,-3.303912,0.000000,0.000000,0.001742,-0.005172,0.697779,0.114365,0.114336,-0.697820
0.034000,10.000000,-0.000686,10.000000,-0.000004,-0.057937,0.000000,-0.000569,-3.404030,0.000000,0.000000,0.001899,-0.005474,0.697248,0.117553,0.117521,-0.697292
0.035000,10.000000,-0.000747,10.000000,-0.000005,-0.061395,0.000000,-0.000639,-3.504149,0.000000,0.000000,0.002065,-0.005782,0.696705,0.120720,0.120684,-0.696753
0.036000,10.000000,-0.000812,10.000000,-0.000005,-0.064954,0.000000,-0.000715,-3.604268,0.000000,0.000000,0.002240,-0.006097,0.696152,0.123863,0.123823,-0.696203
