t,x,y,z,vx,vy,vz,ax,ay,az,wx,wy,wz,qw,qx,qy,qz
0.000000,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.943628,0.000000,0.000000,0.331007
0.001000,0.000000,0.000000,10.000000,0.000039,0.000031,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.943628,0.000000,0.000000,0.331007
0.002000,0.000000,0.000000,10.000000,0.000157,0.000125,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.003000,0.000001,0.000000,10.000000,0.000352,0.000282,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.004000,0.000001,0.000001,10.000000,0.000626,0.000501,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.005000,0.000002,0.000002,10.000000,0.000978,0.000783,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.006000,0.000004,0.000003,10.000000,0.001409,0.001127,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.007000,0.000005,0.000004,10.000000,0.001918,0.001534,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.008000,0.000008,0.000006,10.000000,0.002505,0.002004,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.009000,0.000011,0.000009,10.000000,0.003170,0.002536,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.010000,0.000015,0.000012,10.000000,0.003914,0.003131,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.011000,0.000020,0.000016,10.000000,0.004735,0.003788,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.012000,0.000025,0.000020,10.000000,0.005636,0.004508,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.013000,0.000032,0.000026,10.000000,0.006614,0.005291,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.014000,0.000040,0.000032,10.000000,0.007671,0.006137,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.015000,0.000049,0.000039,10.000000,0.008806,0.007044,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.016000,0.000059,0.000047,10.000000,0.010019,0.008015,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.017000,0.000070,0.000056,10.000000,0.011310,0.009048,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.018000,0.000083,0.000066,10.000000,0.012680,0.010144,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.019000,0.000097,0.000077,10.000000,0.014128,0.011302,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.020000,0.000112,0.000090,10.000000,0.015654,0.012524,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.021000,0.000130,0.000104,10.000000,0.017259,0.013807,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.022000,0.000149,0.000119,10.000000,0.018942,0.015153,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.023000,0.000169,0.000135,10.000000,0.020703,0.016562,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.024000,0.000192,0.000153,10.000000,0.022542,0.018034,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.025000,0.000216,0.000173,10.000000,0.024460,0.019568,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.026000,0.000243,0.000194,10.000000,0.026456,0.021165,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.027000,0.000271,0.000217,10.000000,0.028530,0.022824,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.028000,0.000302,0.000242,10.000000,0.030683,0.024546,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.029000,0.000335,0.000268,10.000000,0.032913,0.026331,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.030000,0.000370,0.000296,10.000000,0.035222,0.028178,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.031000,0.000408,0.000326,10.000000,0.037610,0.030088,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.032000,0.000448,0.000358,10.000000,0.040075,0.032060,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.033000,0.000490,0.000392,10.000000,0.042619,0.034095,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.034000,0.000536,0.000428,10.000000,0.045241,0.036193,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.035000,0.000584,0.000467,10.000000,0.047942,0.038353,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.036000,0.000634,0.000507,10.000000,0.050720,0.040576,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.943628,0.000000,0.000000,0.331007
0.037000,0.000688,0.000550,10.000000,0.053577,0.042862,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000001,0.943628,0.000000,0.000000,0.331007
0.038000,0.000744,0.000595,10.000000,0.056512,0.045210,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000001,0.943628,0.000000,0.000000,0.331007
0.039000,0.000804,0.000643,10.000000,0.059526,0.047621,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000001,0.943628,0.000000,0.000000,0.331007
0.040000,0.000867,0.000693,10.000000,0.062618,0.050094,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000001,0.943628,0.000000,0.000000,0.331007
0.041000,0.000932,0.000746,10.000000,0.065788,0.052630,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000001,0.943628,0.000000,0.000000,0.331007
0.042000,0.001001,0.000801,10.000000,0.069036,0.055229,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000001,0.943628,0.000000,0.000000,0.331007
0.043000,0.001074,0.000859,10.000000,0.072363,0.057890,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000001,0.943628,0.000000,0.000000,0.331007
0.044000,0.001149,0.000920,10.000000,0.075767,0.060614,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000001,0.943628,0.000000,0.000000,0.331007
0.045000,0.001229,0.000983,10.000000,0.079251,0.063400,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000001,0.943628,0.000000,0.000000,0.331007
0.046000,0.001312,0.001049,10.000000,0.082812,0.066250,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000002,0.943628,0.000000,0.000000,0.331007
0.047000,0.001398,0.001118,10.000000,0.086452,0.069161,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000002,0.943628,0.000000,0.000000,0.331007
0.048000,0.001488,0.001191,10.000000,0.090169,0.072136,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000002,0.943628,0.000000,0.000000,0.331007
0.049000,0.001582,0.001266,10.000000,0.093966,0.075173,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000002,0.943628,0.000000,0.000000,0.331007
0.050000,0.001680,0.001344,10.000000,0.097840,0.078272,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000002,0.943628,0.000000,0.000000,0.331007
0.051000,0.001782,0.001425,10.000000,0.101793,0.081434,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000003,0.943628,0.000000,0.000000,0.331007
0.052000,0.001888,0.001510,10.000000,0.105824,0.084659,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000003,0.943628,0.000000,0.000000,0.331007
0.053000,0.001998,0.001598,10.000000,0.109933,0.087947,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000003,0.943628,0.000000,0.000000,0.331007
0.054000,0.002112,0.001689,10.000000,0.114121,0.091297,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000003,0.943628,0.000000,0.000000,0.331007
0.055000,0.002230,0.001784,10.000000,0.118387,0.094709,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000004,0.943628,0.000000,0.000000,0.331007
0.056000,0.002353,0.001882,10.000000,0.122731,0.098185,0.000000,0.000000,-0.000001,0.000000,-0.000000,0.000000,-0.000004,0.943628,0.000000,0.000000,0.331007
0.057000,0.002480,0.001984,10.000000,0.127153,0.101722,0.000000,0.000000,-0.000001,0.000000,-0.000000,0.000000,-0.000004,0.943628,0.000000,0.000000,0.331007
0.058000,0.002612,0.002089,10.000000,0.131654,0.105323,0.000000,0.000001,-0.000001,0.000000,-0.000000,0.000000,-0.000005,0.943628,0.000000,0.000000,0.331007
0.059000,0.002748,0.002198,10.000000,0.136233,0.108986,0.000000,0.000001,-0.000001,0.000000,-0.000000,0.000000,-0.000005,0.943628,0.000000,0.000000,0.331007
